vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount,pickup_location_id,dropoff_location_id
2,3/29/18 13:37,3/29/18 14:17,1,18.15,3,N,1,70,0.00E+00,0.00E+00,16.16,10.5,0.3,96.96,161,1
2,3/29/18 13:37,3/29/18 14:15,1,4.59,1,N,1,25,0.00E+00,0.5,5.16,0.00E+00,0.3,30.96,13,230
2,3/29/18 13:26,3/29/18 13:28,1,0.3,1,N,1,3,0.00E+00,0.5,0.76,0.00E+00,0.3,4.56,231,231
2,3/29/18 13:07,3/29/18 14:03,2,16.97,1,N,1,49.5,0.00E+00,0.5,5.61,5.76,0.3,61.67,231,138
2,3/29/18 14:19,3/29/18 15:19,5,14.45,1,N,1,45.5,0.00E+00,0.5,10.41,5.76,0.3,62.47,87,138
2,3/29/18 14:52,3/29/18 15:51,1,11.6,1,N,1,42,0.00E+00,0.5,14.57,5.76,0.3,63.13,68,138
1,3/29/18 14:09,3/29/18 14:36,1,5.8,1,N,1,24,0.00E+00,0.5,4.95,0.00E+00,0.3,29.75,100,87
2,3/29/18 15:21,3/29/18 16:04,1,3.38,1,N,1,25,0.00E+00,0.5,5.16,0.00E+00,0.3,30.96,144,161
2,3/29/18 15:14,3/29/18 16:42,1,16.98,3,N,1,85,0.00E+00,0.00E+00,15,12.5,0.3,112.8,87,1
2,3/29/18 16:27,3/29/18 16:58,1,4.99,1,N,1,22,1,0.5,4.76,0.00E+00,0.3,28.56,13,161
1,3/29/18 16:27,3/29/18 17:10,1,5.1,1,N,1,26.5,1,0.5,5.65,0.00E+00,0.3,33.95,186,33
1,3/29/18 16:19,3/29/18 16:53,2,8.7,1,N,1,28,1,0.5,7.1,5.76,0.3,42.66,138,237
2,3/29/18 16:41,3/29/18 17:56,1,11.11,1,N,1,45.5,1,0.5,10.61,5.76,0.3,63.67,163,138
2,3/29/18 16:03,3/29/18 17:05,1,9.54,1,N,1,41,1,0.5,9.71,5.76,0.3,58.27,138,244
2,3/29/18 16:59,3/29/18 17:51,1,9.18,1,N,1,34,1,0.5,7.48,5.76,0.3,49.04,161,138
1,3/29/18 16:07,3/29/18 17:31,1,9.8,1,N,1,50,1,0.5,17.25,5.76,0.3,74.81,140,138
1,3/29/18 17:46,3/29/18 18:38,1,5.8,1,N,1,32.5,1,0.5,4.5,0.00E+00,0.3,38.8,138,145
1,3/29/18 17:17,3/29/18 18:17,1,10,1,N,1,38.5,1,0.5,8.05,0.00E+00,0.3,48.35,138,25
1,3/29/18 17:27,3/29/18 18:21,1,9.8,1,N,1,38.5,1,0.5,6.94,5.76,0.3,53,138,90
1,3/29/18 17:21,3/29/18 17:54,1,5.4,1,N,1,24.5,1,0.5,5.25,0.00E+00,0.3,31.55,142,13
